$ benchcmp -mag -changed log-bench-2016-07-11-1221-e572829f log-bench-2016-07-24-1458-74c3b196
benchmark                                         old ns/op     new ns/op     delta
BenchmarkAllocatorAllocACIDFiler1e1-4             32             34             +6.25%
BenchmarkAllocatorAllocACIDFiler0-4               31             32             +3.23%
BenchmarkAllocatorAllocACIDFiler1e2-4             34             33             -2.94%
BenchmarkAllocatorAllocSimpleFileFiler0-4         0              2              +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e1-4       0              2              +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e2-4       0              2              +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e3-4       0              2              +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler0-4       0              7              +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e1-4     0              7              +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e2-4     0              7              +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e3-4     0              7              +Inf%

benchmark                                         old bytes     new bytes     delta
BenchmarkBTreePut1-4                              139363        145           -99.90%
BenchmarkBTreePut8-4                              139363        146           -99.90%
BenchmarkBTreePut16-4                             139397        178           -99.87%
BenchmarkBTreePut32-4                             139587        408           -99.71%
BenchmarkBTreeSetMemFiler1e2-4                    20202         348           -98.28%
BenchmarkBTreeSetMemFiler0-4                      12286         247           -97.99%
BenchmarkBTreeSetMemFiler1e1-4                    10617         247           -97.67%
BenchmarkBTreeSetMemFiler1e3-4                    20591         1343          -93.48%
BenchmarkBTreeSetSimpleFileFiler1e1-4             164           2299          +1301.83%
BenchmarkBTreeSetSimpleFileFiler0-4               164           2293          +1298.17%
BenchmarkBTreeSetSimpleFileFiler1e2-4             215           2757          +1182.33%
BenchmarkBTreeSetSimpleFileFiler1e3-4             223           2756          +1135.87%
BenchmarkRollbackFiler-4                          2             9             +350.00%
BenchmarkAllocatorRndFreeRollbackFiler1e2-4       3273          840           -74.34%
BenchmarkAllocatorRndGetACIDFiler1e3-4            2125          549           -74.16%
BenchmarkAllocatorRndGetRollbackFiler1e3-4        2125          550           -74.12%
BenchmarkAllocatorRndFreeRollbackFiler1e3-4       4182          1248          -70.16%
BenchmarkAllocatorRndFreeRollbackFiler0-4         2026          683           -66.29%
BenchmarkAllocatorRndFreeRollbackFiler1e1-4       1904          683           -64.13%
BenchmarkAllocatorRndFreeACIDFiler1e3-4           9449          21867         +131.42%
BenchmarkMemFilerWrRand-4                         76195         168878        +121.64%
BenchmarkAllocatorRndGetSimpleFileFiler1e3-4      2             1             -50.00%
BenchmarkAllocatorRndGetACIDFiler1e2-4            1000          530           -47.00%
BenchmarkAllocatorRndGetRollbackFiler1e2-4        1000          532           -46.80%
BenchmarkBTreeSetACIDFiler1e1-4                   21011         36013         +71.40%
BenchmarkBTreeSetACIDFiler0-4                     21011         36007         +71.37%
BenchmarkAllocatorRndGetACIDFiler0-4              880           528           -40.00%
BenchmarkAllocatorRndGetACIDFiler1e1-4            880           528           -40.00%
BenchmarkAllocatorRndGetRollbackFiler1e1-4        880           528           -40.00%
BenchmarkAllocatorRndGetRollbackFiler0-4          880           529           -39.89%
BenchmarkBTreeSetRollbackFiler0-4                 6690          10904         +62.99%
BenchmarkBTreeSetRollbackFiler1e1-4               6696          10904         +62.84%
BenchmarkBTreeSetACIDFiler1e3-4                   27500         44167         +60.61%
BenchmarkBTreeSetACIDFiler1e2-4                   22726         36274         +59.61%
BenchmarkAllocatorAllocRollbackFiler1e3-4         3100          1978          -36.19%
BenchmarkAllocatorRndFreeACIDFiler1e2-4           8440          12086         +43.20%
BenchmarkBTreeSetRollbackFiler1e2-4               8116          11223         +38.28%
BenchmarkAllocatorRndFreeACIDFiler1e1-4           7266          5823          -19.86%
BenchmarkAllocatorRndFreeACIDFiler0-4             7168          5769          -19.52%
BenchmarkAllocatorAllocRollbackFiler1e2-4         1382          1122          -18.81%
BenchmarkAllocatorAllocRollbackFiler0-4           1185          1022          -13.76%
BenchmarkAllocatorAllocRollbackFiler1e1-4         1196          1053          -11.96%
BenchmarkBTreeGet8-4                              127           112           -11.81%
BenchmarkBTreeGet16-4                             136           120           -11.76%
BenchmarkBTreeGet1-4                              136           152           +11.76%
BenchmarkBTreeSetRollbackFiler1e3-4               10761         12007         +11.58%
BenchmarkAllocatorAllocACIDFiler1e1-4             6544          7264          +11.00%
BenchmarkAllocatorAllocACIDFiler0-4               6512          7144          +9.71%
BenchmarkAllocatorAllocACIDFiler1e2-4             6980          7459          +6.86%
BenchmarkMemFilerWrSeq-4                          50            51            +2.00%
BenchmarkAllocatorAllocACIDFiler1e3-4             11037         10948         -0.81%
BenchmarkAllocatorAllocMemFiler1e3-4              1009          1008          -0.10%
BenchmarkAllocatorAllocSimpleFileFiler0-4         0             240           +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e1-4       0             240           +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e2-4       0             240           +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e3-4       0             240           +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler0-4       0             920           +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e1-4     0             920           +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e2-4     0             920           +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e3-4     0             920           +Inf%
BenchmarkMemFilerRdRand-4                         0             8             +Inf%
