$ benchcmp -mag -changed log-bench-2016-07-11-1221-e572829f log-bench-2016-07-24-1458-74c3b196
benchmark                                         old ns/op     new ns/op     delta
BenchmarkMemFilerRdRand-4                         10183         9980          -1.99%
BenchmarkMemFilerWrSeq-4                          1494          1473          -1.41%
BenchmarkAllocatorRndGetRollbackFiler1e2-4        2726          2753          +0.99%
BenchmarkAllocatorRndGetACIDFiler1e2-4            2757          2754          -0.11%

benchmark                                         old allocs     new allocs     delta
BenchmarkBTreeSetACIDFiler0-4                     203            53             -73.89%
BenchmarkBTreeSetACIDFiler1e2-4                   241            71             -70.54%
BenchmarkBTreeSetACIDFiler1e3-4                   263            78             -70.34%
BenchmarkBTreeSetSimpleFileFiler1e3-4             14             36             +157.14%
BenchmarkBTreeSetACIDFiler1e1-4                   135            53             -60.74%
BenchmarkBTreeSetSimpleFileFiler1e2-4             15             36             +140.00%
BenchmarkBTreeSetRollbackFiler0-4                 49             22             -55.10%
BenchmarkBTreeSetRollbackFiler1e1-4               49             22             -55.10%
BenchmarkBTreeSetSimpleFileFiler0-4               15             33             +120.00%
BenchmarkBTreeSetSimpleFileFiler1e1-4             15             33             +120.00%
BenchmarkBTreeSetRollbackFiler1e2-4               53             25             -52.83%
BenchmarkBTreeSetRollbackFiler1e3-4               56             27             -51.79%
BenchmarkAllocatorRndFreeACIDFiler0-4             63             35             -44.44%
BenchmarkAllocatorRndFreeACIDFiler1e1-4           62             36             -41.94%
BenchmarkAllocatorAllocACIDFiler1e3-4             45             30             -33.33%
BenchmarkAllocatorAllocRollbackFiler0-4           4              6              +50.00%
BenchmarkAllocatorAllocRollbackFiler1e1-4         4              6              +50.00%
BenchmarkAllocatorAllocRollbackFiler1e2-4         4              6              +50.00%
BenchmarkAllocatorRndGetACIDFiler0-4              4              6              +50.00%
BenchmarkAllocatorRndGetACIDFiler1e1-4            4              6              +50.00%
BenchmarkAllocatorRndGetACIDFiler1e2-4            4              6              +50.00%
BenchmarkAllocatorRndGetRollbackFiler0-4          4              6              +50.00%
BenchmarkAllocatorRndGetRollbackFiler1e1-4        4              6              +50.00%
BenchmarkAllocatorRndGetRollbackFiler1e2-4        4              6              +50.00%
BenchmarkBTreeGet1-4                              4              6              +50.00%
BenchmarkBTreeGet32-4                             5              7              +40.00%
BenchmarkBTreeGet16-4                             3              4              +33.33%
BenchmarkBTreeGet8-4                              3              4              +33.33%
BenchmarkBTreePut32-4                             11             14             +27.27%
BenchmarkAllocatorAllocRollbackFiler1e3-4         5              6              +20.00%
BenchmarkAllocatorRndGetACIDFiler1e3-4            5              6              +20.00%
BenchmarkAllocatorRndGetRollbackFiler1e3-4        5              6              +20.00%
BenchmarkAllocatorRndFreeACIDFiler1e2-4           67             56             -16.42%
BenchmarkAllocatorRndFreeRollbackFiler0-4         7              8              +14.29%
BenchmarkAllocatorRndFreeRollbackFiler1e1-4       7              8              +14.29%
BenchmarkBTreePut1-4                              7              8              +14.29%
BenchmarkBTreePut16-4                             7              8              +14.29%
BenchmarkBTreePut8-4                              7              8              +14.29%
BenchmarkAllocatorRndFreeRollbackFiler1e2-4       8              9              +12.50%
BenchmarkAllocatorRndFreeACIDFiler1e3-4           71             66             -7.04%
BenchmarkAllocatorAllocACIDFiler1e2-4             29             28             -3.45%
BenchmarkAllocatorAllocSimpleFileFiler0-4         0              2              +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e1-4       0              2              +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e2-4       0              2              +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e3-4       0              2              +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler0-4       0              7              +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e1-4     0              7              +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e2-4     0              7              +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e3-4     0              7              +Inf%

benchmark                                         old bytes     new bytes     delta
BenchmarkBTreePut1-4                              139367        145           -99.90%
BenchmarkBTreePut8-4                              139367        145           -99.90%
BenchmarkBTreePut16-4                             139399        177           -99.87%
BenchmarkBTreePut32-4                             139592        402           -99.71%
BenchmarkBTreeSetMemFiler1e2-4                    19275         319           -98.35%
BenchmarkBTreeSetMemFiler0-4                      12928         256           -98.02%
BenchmarkBTreeSetMemFiler1e1-4                    12928         259           -98.00%
BenchmarkBTreeSetSimpleFileFiler1e3-4             168           2836          +1588.10%
BenchmarkBTreeSetSimpleFileFiler1e2-4             170           2840          +1570.59%
BenchmarkBTreeSetRollbackFiler0-4                 24242         1566          -93.54%
BenchmarkBTreeSetRollbackFiler1e1-4               24243         1567          -93.54%
BenchmarkBTreeSetMemFiler1e3-4                    18734         1282          -93.16%
BenchmarkBTreeSetSimpleFileFiler0-4               169           2436          +1341.42%
BenchmarkBTreeSetSimpleFileFiler1e1-4             169           2433          +1339.64%
BenchmarkBTreeSetRollbackFiler1e2-4               26831         1929          -92.81%
BenchmarkBTreeSetRollbackFiler1e3-4               28710         2161          -92.47%
BenchmarkAllocatorRndFreeRollbackFiler1e3-4       4781          897           -81.24%
BenchmarkAllocatorRndFreeRollbackFiler1e2-4       3861          800           -79.28%
BenchmarkAllocatorRndFreeRollbackFiler1e1-4       3421          725           -78.81%
BenchmarkAllocatorRndFreeRollbackFiler0-4         3308          725           -78.08%
BenchmarkRollbackFiler-4                          2             9             +350.00%
BenchmarkAllocatorRndGetACIDFiler1e3-4            2123          545           -74.33%
BenchmarkAllocatorRndGetRollbackFiler1e3-4        2123          546           -74.28%
BenchmarkAllocatorAllocRollbackFiler1e3-4         2148          565           -73.70%
BenchmarkAllocatorRndFreeACIDFiler1e3-4           10040         25877         +157.74%
BenchmarkAllocatorRndFreeACIDFiler1e2-4           9123          20659         +126.45%
BenchmarkAllocatorRndGetACIDFiler1e2-4            1000          529           -47.10%
BenchmarkAllocatorRndGetRollbackFiler1e2-4        1000          530           -47.00%
BenchmarkBTreeSetACIDFiler0-4                     31790         17014         -46.48%
BenchmarkAllocatorAllocRollbackFiler1e2-4         1005          540           -46.27%
BenchmarkAllocatorRndGetACIDFiler0-4              880           528           -40.00%
BenchmarkAllocatorRndGetACIDFiler1e1-4            880           528           -40.00%
BenchmarkAllocatorRndGetRollbackFiler0-4          880           528           -40.00%
BenchmarkAllocatorRndGetRollbackFiler1e1-4        880           528           -40.00%
BenchmarkAllocatorAllocRollbackFiler1e1-4         889           536           -39.71%
BenchmarkAllocatorAllocRollbackFiler0-4           884           535           -39.48%
BenchmarkBTreeSetACIDFiler1e2-4                   34393         27331         -20.53%
BenchmarkBTreeSetACIDFiler1e1-4                   21319         17022         -20.16%
BenchmarkAllocatorRndFreeACIDFiler1e1-4           8030          9898          +23.26%
BenchmarkBTreeSetACIDFiler1e3-4                   38350         31566         -17.69%
BenchmarkAllocatorAllocACIDFiler1e3-4             8229          6912          -16.00%
BenchmarkAllocatorRndFreeACIDFiler0-4             8330          9867          +18.45%
BenchmarkBTreeGet8-4                              128           112           -12.50%
BenchmarkBTreeGet16-4                             136           120           -11.76%
BenchmarkBTreeGet1-4                              136           152           +11.76%
BenchmarkAllocatorAllocMemFiler1e0-4              16            15            -6.25%
BenchmarkAllocatorAllocACIDFiler0-4               5618          5693          +1.33%
BenchmarkAllocatorAllocACIDFiler1e1-4             5632          5696          +1.14%
BenchmarkAllocatorAllocACIDFiler1e2-4             5880          5824          -0.95%
BenchmarkAllocatorAllocMemFiler1e2-4              112           111           -0.89%
BenchmarkAllocatorAllocMemFiler1e3-4              1009          1008          -0.10%
BenchmarkMemFilerWrRand-4                         10750         10743         -0.07%
BenchmarkAllocatorAllocSimpleFileFiler0-4         0             240           +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e1-4       0             240           +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e2-4       0             240           +Inf%
BenchmarkAllocatorAllocSimpleFileFiler1e3-4       0             240           +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler0-4       0             920           +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e1-4     0             920           +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e2-4     0             920           +Inf%
BenchmarkAllocatorRndFreeSimpleFileFiler1e3-4     0             920           +Inf%
