benchcmp -mag -changed log-bench-2016-07-06-1155-2cbfdfc3 log-bench-2016-07-23-1640-77a0b885-lldb-2016-07-24-1458-74c3b196
benchmark                                 old ns/op      new ns/op      delta
BenchmarkInsertBoolFileNoX1e3-4           9077713        8596650        -5.30%
BenchmarkSelectBoolFileNoX1e4Perc50-4     18189855       19193922       +5.52%
BenchmarkInsertFile1kBn1e1t1e3-4          423017956      445110000      +5.22%
BenchmarkSelectMem1kBx1e5-4               58799243       55888476       -4.95%
BenchmarkSelectBoolMemX1e1Perc50-4        4057           3858           -4.91%
BenchmarkSelectBoolFileNoX1e4Perc5-4      18105602       19004370       +4.96%
BenchmarkInsertBoolMemNoX1e5-4            163547919      155903588      -4.67%
BenchmarkSelectBoolMemX1e2Perc50-4        15528          14841          -4.42%
BenchmarkSelectBoolFileX1e2Perc5-4        12844          12308          -4.17%
BenchmarkSelectBoolFileX1e4Perc50-4       10673981       11106062       +4.05%
BenchmarkSelectOrderedMem1kBx1e2-4        172917         166403         -3.77%
BenchmarkCrossJoinMem1e2NoX1e3-4          6201432        6443446        +3.90%
BenchmarkSelectBoolMemX1e3Perc5-4         14105          13584          -3.69%
BenchmarkSelectOrderedMem1kBx1e4-4        24902453       25850340       +3.81%
BenchmarkSelectBoolFileX1e4Perc5-4        1173943        1217587        +3.72%
BenchmarkSelectBoolMemX1e1Perc5-4         2195           2275           +3.64%
BenchmarkSelectFile1kBx1e4-4              41033252       39639476       -3.40%
BenchmarkSelectBoolMemX1e3Perc50-4        145595         140799         -3.29%
BenchmarkCrossJoinFile1e2X1e1-4           38581          39780          +3.11%
BenchmarkInsertMem1kBn1e3t1e5-4           95075826       92212603       -3.01%
BenchmarkInsertMem1kBn1e1t1e2-4           106202         109460         +3.07%
BenchmarkSelectOrderedMem1kBx1e3-4        2021488        1967131        -2.69%
BenchmarkCrossJoinFile1e2NoX1e3-4         24083516       24744811       +2.75%
BenchmarkSelectBoolFileX1e3Perc50-4       1091519        1121136        +2.71%
BenchmarkCrossJoinMem1e3X1e2-4            421255         410391         -2.58%
BenchmarkSelectBoolMemX1e5Perc5-4         1811436        1765283        -2.55%
BenchmarkCrossJoinMem1e3NoX1e4-4          720529765      739227680      +2.60%
BenchmarkCrossJoinMem1e1NoX1e2-4          161288         165176         +2.41%
BenchmarkInsertMem1kBn1e2t1e2-4           81153          83013          +2.29%
BenchmarkInsertMem1kBn1e3t1e3-4           896526         916967         +2.28%
BenchmarkCrossJoinFile1e3NoX1e4-4         2894368317     2959596841     +2.25%
BenchmarkCrossJoinMem1e1X1e2-4            8040           8216           +2.19%
BenchmarkInsertBoolMemNoX1e4-4            15050543       15377995       +2.18%
BenchmarkCrossJoinMem1e2NoX1e1-4          145313         142319         -2.06%
BenchmarkInsertBoolFileNoX1e1-4           3761544        3834253        +1.93%
BenchmarkCrossJoinFile1e3X1e4-4           322629062      328822980      +1.92%
BenchmarkInsertBoolFileX1e1-4             3883991        3949339        +1.68%
BenchmarkInsertBoolMemX1e3-4              1802829        1832237        +1.63%
BenchmarkInsertBoolMemX1e1-4              15293          15077          -1.41%
BenchmarkInsertBoolMemX1e5-4              287504592      283480284      -1.40%
BenchmarkCrossJoinFile1e1X1e2-4           29623          30038          +1.40%
BenchmarkSelectBoolMemNoX1e5Perc50-4      58020016       58829537       +1.40%
BenchmarkInsertMem1kBn1e3t1e4-4           8813551        8916227        +1.16%
BenchmarkCrossJoinMem1e3NoX1e2-4          7727594        7814315        +1.12%
BenchmarkSelectBoolMemNoX1e2Perc5-4       51980          51424          -1.07%
BenchmarkSelectBoolMemNoX1e3Perc50-4      524204         518721         -1.05%
BenchmarkSelectBoolMemNoX1e1Perc50-4      7384           7307           -1.04%
BenchmarkInsertBoolMemNoX1e1-4            10832          10946          +1.05%
BenchmarkCrossJoinMem1e2X1e3-4            327426         324034         -1.04%
BenchmarkSelectBoolMemNoX1e3Perc5-4       505928         501174         -0.94%
BenchmarkSelectBoolMemNoX1e5Perc5-4       56693361       57210828       +0.91%
BenchmarkInsertFile1kBn1e1t1e2-4          43289709       43009341       -0.65%
BenchmarkSelectBoolMemNoX1e4Perc50-4      5464921        5440603        -0.44%
BenchmarkSelectBoolMemNoX1e4Perc5-4       5264616        5244992        -0.37%
BenchmarkSelectBoolMemNoX1e2Perc50-4      53572          53401          -0.32%
BenchmarkCrossJoinMem1e4NoX1e3-4          831437424      834087801      +0.32%
BenchmarkInsertBoolMemX1e2-4              143696         143279         -0.29%
BenchmarkInsertBoolMemNoX1e2-4            99819          99559          -0.26%
BenchmarkSelectFile1kBx1e3-4              4307204        4296026        -0.26%
BenchmarkInsertMem1kBn1e2t1e3-4           841860         843955         +0.25%
BenchmarkCrossJoinMem1e4X1e3-4            51726273       51612702       -0.22%
BenchmarkSelectBoolMemNoX1e1Perc5-4       6939           6926           -0.19%
BenchmarkInsertMem1kBn1e1t1e3-4           1026983        1025232        -0.17%
BenchmarkInsertMem1kBn1e0t1e2-4           247526         247929         +0.16%
BenchmarkInsertMem1kBn1e2t1e4-4           9309941        9324398        +0.16%
BenchmarkSelectBoolMemX1e2Perc5-4         2880           2884           +0.14%
BenchmarkInsertBoolMemX1e4-4              25369798       25390582       +0.08%
BenchmarkCrossJoinMem1e3X1e4-4            45892145       45886037       -0.01%
BenchmarkInsertBoolMemNoX1e3-4            1077220        1077255        +0.00%

benchmark                                 old MB/s       new MB/s       speedup
BenchmarkSelectOrderedFile1kBx1e3-4       9800.73        16268.09       1.66x
BenchmarkSelectOrderedFile1kBx1e4-4       7594.96        12131.02       1.60x
BenchmarkInsertFile1kBn1e3t1e5-4          36102.47       49529.55       1.37x
BenchmarkInsertFile1kBn1e3t1e4-4          36400.70       48138.11       1.32x
BenchmarkInsertFile1kBn1e3t1e3-4          37068.67       48597.17       1.31x
BenchmarkSelectBoolFileX1e3Perc5-4        456045.96      573987.94      1.26x
BenchmarkInsertBoolFileX1e3-4             18619.37       22075.41       1.19x
BenchmarkSelectBoolFileNoX1e2Perc50-4     539783.46      464128.80      0.86x
BenchmarkCrossJoinFile1e4X1e3-4           683318.85      594401.47      0.87x
BenchmarkSelectOrderedFile1kBx1e2-4       21015.34       24080.42       1.15x
BenchmarkInsertFile1kBn1e2t1e4-4          13840.27       15823.08       1.14x
BenchmarkInsertFile1kBn1e2t1e3-4          14014.90       15952.04       1.14x
BenchmarkSelectBoolMemX1e4Perc50-4        3068512.99     3491392.65     1.14x
BenchmarkSelectBoolFileNoX1e1Perc50-4     656507.33      577561.89      0.88x
BenchmarkSelectBoolFileNoX1e1Perc5-4      93531.25       83004.89       0.89x
BenchmarkCrossJoinFile1e3NoX1e2-4         59866.19       53199.82       0.89x
BenchmarkCrossJoinFile1e2NoX1e1-4         37722.47       33682.88       0.89x
BenchmarkCrossJoinFile1e1NoX1e2-4         55095.96       49240.99       0.89x
BenchmarkSelectBoolFileX1e2Perc50-4       814025.40      732291.78      0.90x
BenchmarkIssue99-4                        5129.74        4638.32        0.90x
BenchmarkSelectBoolFileNoX1e2Perc5-4      32107.10       29151.45       0.91x
BenchmarkSelectFile1kBx1e5-4              234091.43      256635.18      1.10x
BenchmarkCrossJoinFile1e2X1e3-4           654667.56      598572.25      0.91x
BenchmarkCrossJoinMem1e2X1e1-4            847238.72      923536.31      1.09x
BenchmarkInsertFile1kBn1e2t1e2-4          14551.76       15821.63       1.09x
BenchmarkSelectBoolFileX1e1Perc50-4       543525.86      501183.03      0.92x
BenchmarkSelectFile1kBx1e2-4              538665.78      497440.25      0.92x
BenchmarkSelectMem1kBx1e2-4               2298774.07     2482842.53     1.08x
BenchmarkSelectMem1kBx1e3-4               2261522.61     2437084.59     1.08x
BenchmarkSelectBoolFileNoX1e3Perc5-4      23746.30       22083.29       0.93x
BenchmarkSelectBoolMemX1e4Perc5-4         3108687.53     3341468.29     1.07x
BenchmarkSelectBoolFileX1e1Perc5-4        138241.96      148201.65      1.07x
BenchmarkCrossJoinFile1e3X1e2-4           451564.65      422538.47      0.94x
BenchmarkInsertBoolFileX1e2-4             16374.79       17470.93       1.07x
BenchmarkSelectMem1kBx1e4-4               2143513.49     2283319.41     1.07x
BenchmarkCrossJoinFile1e4NoX1e3-4         32399.12       30515.49       0.94x
BenchmarkInsertFile1kBn1e0t1e2-4          262.52         247.41         0.94x
BenchmarkSelectBoolMemX1e5Perc50-4        2659157.97     2817485.95     1.06x
BenchmarkInsertBoolFileNoX1e2-4           23628.89       22306.08       0.94x
BenchmarkSelectBoolFileNoX1e3Perc50-4     285796.81      270535.54      0.95x
BenchmarkInsertBoolFileNoX1e3-4           110159.90      116324.38      1.06x
BenchmarkSelectBoolFileNoX1e4Perc50-4     278341.96      263781.42      0.95x
BenchmarkInsertFile1kBn1e1t1e3-4          2363.97        2246.64        0.95x
BenchmarkSelectMem1kBx1e5-4               1700702.15     1789277.63     1.05x
BenchmarkSelectBoolMemX1e1Perc50-4        1725070.57     1813973.91     1.05x
BenchmarkSelectBoolFileNoX1e4Perc5-4      29548.86       28151.42       0.95x
BenchmarkInsertBoolMemNoX1e5-4            611441.59      641422.05      1.05x
BenchmarkSelectBoolMemX1e2Perc50-4        3091113.99     3234074.01     1.05x
BenchmarkSelectBoolFileX1e2Perc5-4        233554.57      243742.92      1.04x
BenchmarkSelectBoolFileX1e4Perc50-4       474330.99      455877.15      0.96x
BenchmarkSelectOrderedMem1kBx1e2-4        578310.96      600948.43      1.04x
BenchmarkCrossJoinMem1e2NoX1e3-4          117392.23      112983.01      0.96x
BenchmarkSelectBoolMemX1e3Perc5-4         2977654.35     3091828.32     1.04x
BenchmarkSelectOrderedMem1kBx1e4-4        401566.87      386842.10      0.96x
BenchmarkSelectBoolFileX1e4Perc5-4        455728.97      439393.51      0.96x
BenchmarkSelectBoolMemX1e1Perc5-4         455430.34      439423.81      0.96x
BenchmarkSelectFile1kBx1e4-4              243704.79      252273.76      1.04x
BenchmarkSelectBoolMemX1e3Perc50-4        3523463.25     3643476.14     1.03x
BenchmarkCrossJoinFile1e2X1e1-4           207354.56      201103.44      0.97x
BenchmarkInsertMem1kBn1e3t1e5-4           1051792.07     1084450.46     1.03x
BenchmarkInsertMem1kBn1e1t1e2-4           941593.24      913569.42      0.97x
BenchmarkSelectOrderedMem1kBx1e3-4        494685.08      508354.34      1.03x
BenchmarkCrossJoinFile1e2NoX1e3-4         30228.14       29420.31       0.97x
BenchmarkSelectBoolFileX1e3Perc50-4       469986.87      457571.45      0.97x
BenchmarkCrossJoinMem1e3X1e2-4            1922824.32     1973725.90     1.03x
BenchmarkSelectBoolMemX1e5Perc5-4         2807716.35     2881124.34     1.03x
BenchmarkCrossJoinMem1e3NoX1e4-4          130154.23      126862.13      0.97x
BenchmarkCrossJoinMem1e1NoX1e2-4          86800.97       84757.70       0.98x
BenchmarkInsertMem1kBn1e2t1e2-4           1232240.21     1204616.37     0.98x
BenchmarkInsertMem1kBn1e3t1e3-4           1115415.57     1090551.18     0.98x
BenchmarkCrossJoinFile1e3NoX1e4-4         32400.85       31686.75       0.98x
BenchmarkCrossJoinMem1e1X1e2-4            1741078.76     1703932.83     0.98x
BenchmarkInsertBoolMemNoX1e4-4            664427.85      650279.81      0.98x
BenchmarkCrossJoinMem1e2NoX1e1-4          55053.47       56211.46       1.02x
BenchmarkInsertBoolFileNoX1e1-4           2658.48        2608.07        0.98x
BenchmarkCrossJoinFile1e3X1e4-4           290674.37      285199.04      0.98x
BenchmarkInsertBoolFileX1e1-4             2574.67        2532.07        0.98x
BenchmarkInsertBoolMemX1e3-4              554683.70      545780.79      0.98x
BenchmarkInsertBoolMemX1e1-4              653861.78      663239.04      1.01x
BenchmarkInsertBoolMemX1e5-4              347820.53      352758.22      1.01x
BenchmarkCrossJoinFile1e1X1e2-4           472603.68      466073.52      0.99x
BenchmarkSelectBoolMemNoX1e5Perc50-4      864425.81      852530.92      0.99x
BenchmarkInsertMem1kBn1e3t1e4-4           1134616.42     1121550.57     0.99x
BenchmarkCrossJoinMem1e3NoX1e2-4          104819.17      103655.91      0.99x
BenchmarkSelectBoolMemNoX1e2Perc5-4       57714.04       58338.31       1.01x
BenchmarkSelectBoolMemNoX1e3Perc50-4      978624.87      988969.35      1.01x
BenchmarkInsertBoolMemNoX1e1-4            923110.91      913513.65      0.99x
BenchmarkCrossJoinMem1e2X1e3-4            2223402.52     2246676.77     1.01x
BenchmarkSelectBoolMemNoX1e1Perc50-4      947945.05      957867.88      1.01x
BenchmarkSelectBoolMemNoX1e3Perc5-4       83015.64       83803.20       1.01x
BenchmarkSelectBoolMemNoX1e5Perc5-4       89710.68       88899.25       0.99x
BenchmarkInsertFile1kBn1e1t1e2-4          2310.02        2325.08        1.01x
BenchmarkSelectBoolMemNoX1e4Perc50-4      926454.29      930595.25      1.00x
BenchmarkSelectBoolMemNoX1e4Perc5-4       101621.83      102002.06      1.00x
BenchmarkSelectBoolMemNoX1e2Perc50-4      895974.83      898859.01      1.00x
BenchmarkCrossJoinMem1e4NoX1e3-4          128586.95      128178.35      1.00x
BenchmarkInsertBoolMemX1e2-4              695911.09      697934.93      1.00x
BenchmarkInsertBoolMemNoX1e2-4            1001804.24     1004424.11     1.00x
BenchmarkSelectFile1kBx1e3-4              232169.14      232773.22      1.00x
BenchmarkInsertMem1kBn1e2t1e3-4           1187844.62     1184896.07     1.00x
BenchmarkCrossJoinMem1e4X1e3-4            2066880.00     2071428.06     1.00x
BenchmarkSelectBoolMemNoX1e1Perc5-4       144110.89      144380.84      1.00x
BenchmarkInsertMem1kBn1e1t1e3-4           973725.32      975388.39      1.00x
BenchmarkInsertMem1kBn1e0t1e2-4           403996.84      403340.28      1.00x
BenchmarkInsertMem1kBn1e2t1e4-4           1074120.65     1072455.26     1.00x
BenchmarkSelectBoolMemX1e2Perc5-4         1041550.86     1040028.67     1.00x
BenchmarkInsertBoolMemX1e4-4              394169.47      393846.81      1.00x
BenchmarkCrossJoinMem1e3X1e4-4            2043486.93     2043758.96     1.00x
BenchmarkInsertBoolMemNoX1e3-4            928315.44      928284.63      1.00x

benchmark                                 old allocs     new allocs     delta
BenchmarkInsertFile1kBn1e2t1e2-4          3499           1889           -46.01%
BenchmarkInsertFile1kBn1e2t1e3-4          35073          19041          -45.71%
BenchmarkInsertFile1kBn1e3t1e3-4          34502          18830          -45.42%
BenchmarkInsertFile1kBn1e3t1e5-4          3554823        1958536        -44.90%
BenchmarkInsertFile1kBn1e3t1e4-4          354961         195766         -44.85%
BenchmarkInsertFile1kBn1e2t1e4-4          359809         199117         -44.66%
BenchmarkInsertFile1kBn1e1t1e2-4          3991           2353           -41.04%
BenchmarkInsertFile1kBn1e1t1e3-4          40010          23666          -40.85%
BenchmarkInsertFile1kBn1e0t1e2-4          8818           7031           -20.27%
BenchmarkInsertBoolFileX1e1-4             560            489            -12.68%
BenchmarkSelectBoolFileNoX1e4Perc5-4      110035         120042         +9.09%
BenchmarkSelectBoolFileNoX1e4Perc50-4     110035         120042         +9.09%
BenchmarkSelectBoolFileNoX1e3Perc5-4      11024          12024          +9.07%
BenchmarkSelectBoolFileNoX1e3Perc50-4     11024          12024          +9.07%
BenchmarkSelectBoolFileNoX1e2Perc5-4      1123           1223           +8.90%
BenchmarkSelectBoolFileNoX1e2Perc50-4     1123           1223           +8.90%
BenchmarkCrossJoinFile1e3NoX1e4-4         11811364       12710248       +7.61%
BenchmarkCrossJoinFile1e4NoX1e3-4         13611367       14646180       +7.60%
BenchmarkCrossJoinFile1e1NoX1e2-4         2765           2975           +7.59%
BenchmarkCrossJoinFile1e2NoX1e3-4         106149         114207         +7.59%
BenchmarkCrossJoinFile1e3NoX1e2-4         131355         141288         +7.56%
BenchmarkSelectBoolFileNoX1e1Perc5-4      133            143            +7.52%
BenchmarkSelectBoolFileNoX1e1Perc50-4     133            143            +7.52%
BenchmarkCrossJoinFile1e2NoX1e1-4         2399           2579           +7.50%
BenchmarkSelectFile1kBx1e3-4              15024          16030          +6.70%
BenchmarkSelectFile1kBx1e4-4              150066         160084         +6.68%
BenchmarkSelectFile1kBx1e5-4              1500475        1600460        +6.66%
BenchmarkSelectFile1kBx1e2-4              1516           1616           +6.60%
BenchmarkSelectBoolFileX1e4Perc50-4       86273          91343          +5.88%
BenchmarkSelectBoolFileX1e3Perc50-4       8865           9378           +5.79%
BenchmarkSelectBoolFileX1e4Perc5-4        9282           9819           +5.79%
BenchmarkCrossJoinFile1e2X1e3-4           13410          14164          +5.62%
BenchmarkCrossJoinFile1e4X1e3-4           1961460        2070750        +5.57%
BenchmarkCrossJoinFile1e3X1e4-4           1692220        1785914        +5.54%
BenchmarkSelectBoolFileX1e2Perc50-4       923            972            +5.31%
BenchmarkSelectBoolFileX1e3Perc5-4        854            899            +5.27%
BenchmarkCrossJoinFile1e3X1e2-4           17807          18662          +4.80%
BenchmarkSelectBoolFileX1e1Perc50-4       192            201            +4.69%
BenchmarkCrossJoinFile1e1X1e2-4           346            362            +4.62%
BenchmarkCrossJoinFile1e2X1e1-4           447            464            +3.80%
BenchmarkSelectOrderedFile1kBx1e4-4       2881679        2989458        +3.74%
BenchmarkInsertBoolFileX1e3-4             123034         118781         -3.46%
BenchmarkSelectOrderedFile1kBx1e2-4       16436          16958          +3.18%
BenchmarkSelectOrderedFile1kBx1e3-4       225383         232156         +3.01%
BenchmarkSelectBoolFileX1e2Perc5-4        158            162            +2.53%
BenchmarkInsertBoolFileX1e2-4             8380           8191           -2.26%
BenchmarkSelectBoolFileX1e1Perc5-4        91             93             +2.20%
BenchmarkInsertBoolFileNoX1e2-4           1752           1723           -1.66%
BenchmarkInsertBoolFileNoX1e3-4           17318          17063          -1.47%
BenchmarkInsertBoolFileNoX1e1-4           195            193            -1.03%
BenchmarkIssue99-4                        12201333       12201073       -0.00%
BenchmarkCrossJoinMem1e4NoX1e3-4          9454070        9454068        -0.00%
BenchmarkCrossJoinMem1e3NoX1e4-4          8203245        8203246        +0.00%

benchmark                                 old bytes      new bytes     delta
BenchmarkSelectOrderedFile1kBx1e4-4       2098354752     169338532     -91.93%
BenchmarkSelectOrderedFile1kBx1e3-4       156930121      16583952      -89.43%
BenchmarkInsertBoolFileX1e1-4             175850         32314         -81.62%
BenchmarkSelectBoolFileX1e3Perc5-4        155830         53469         -65.69%
BenchmarkInsertBoolFileX1e2-4             368094         180420        -50.99%
BenchmarkSelectOrderedFile1kBx1e2-4       2800180        1478292       -47.21%
BenchmarkInsertBoolFileX1e3-4             4923617        2667694       -45.82%
BenchmarkSelectBoolFileX1e3Perc50-4       356203         228723        -35.79%
BenchmarkSelectBoolFileX1e2Perc5-4        11631          7669          -34.06%
BenchmarkCrossJoinFile1e1X1e2-4           25295          17063         -32.54%
BenchmarkSelectBoolFileX1e4Perc5-4        340990         230390        -32.43%
BenchmarkCrossJoinFile1e3X1e2-4           1180934        814670        -31.01%
BenchmarkInsertFile1kBn1e2t1e4-4          54796128       39794544      -27.38%
BenchmarkInsertFile1kBn1e2t1e2-4          541238         396567        -26.73%
BenchmarkCrossJoinFile1e2X1e1-4           25920          19242         -25.76%
BenchmarkInsertFile1kBn1e2t1e3-4          5457514        4051847       -25.76%
BenchmarkInsertFile1kBn1e3t1e4-4          55211062       41398026      -25.02%
BenchmarkInsertFile1kBn1e3t1e5-4          538081328      411313216     -23.56%
BenchmarkInsertFile1kBn1e1t1e2-4          612749         489249        -20.16%
BenchmarkInsertFile1kBn1e1t1e3-4          6162928        4969445       -19.37%
BenchmarkInsertFile1kBn1e0t1e2-4          1290186        1516192       +17.52%
BenchmarkInsertFile1kBn1e3t1e3-4          5405696        4602496       -14.86%
BenchmarkSelectBoolFileNoX1e4Perc5-4      2322203        2644180       +13.87%
BenchmarkSelectBoolFileNoX1e4Perc50-4     2322207        2644138       +13.86%
BenchmarkSelectBoolFileNoX1e3Perc5-4      233296         265481        +13.80%
BenchmarkSelectBoolFileNoX1e3Perc50-4     233297         265480        +13.79%
BenchmarkSelectBoolFileNoX1e2Perc5-4      24408          27615         +13.14%
BenchmarkSelectBoolFileNoX1e2Perc50-4     24408          27615         +13.14%
BenchmarkSelectBoolFileX1e1Perc5-4        3096           2777          -10.30%
BenchmarkSelectBoolFileX1e2Perc50-4       26033          23523         -9.64%
BenchmarkInsertBoolFileNoX1e2-4           41672          38013         -8.78%
BenchmarkCrossJoinFile1e2X1e3-4           628150         573745        -8.66%
BenchmarkSelectBoolFileNoX1e1Perc5-4      3528           3848          +9.07%
BenchmarkSelectBoolFileNoX1e1Perc50-4     3528           3848          +9.07%
BenchmarkCrossJoinFile1e4X1e3-4           85038432       78470932      -7.72%
BenchmarkInsertBoolFileNoX1e3-4           377533         350376        -7.19%
BenchmarkSelectFile1kBx1e5-4              373998104      351618280     -5.98%
BenchmarkSelectFile1kBx1e4-4              37401453       35167973      -5.97%
BenchmarkSelectFile1kBx1e2-4              374231         351939        -5.96%
BenchmarkSelectFile1kBx1e3-4              3740989        3519311       -5.93%
BenchmarkCrossJoinFile1e3NoX1e4-4         248254664      262787400     +5.85%
BenchmarkCrossJoinFile1e4NoX1e3-4         286418680      303158072     +5.84%
BenchmarkCrossJoinFile1e2NoX1e3-4         2233895        2364219       +5.83%
BenchmarkCrossJoinFile1e3NoX1e2-4         2794500        2955281       +5.75%
BenchmarkCrossJoinFile1e1NoX1e2-4         59548          62922         +5.67%
BenchmarkCrossJoinFile1e2NoX1e1-4         54266          57160         +5.33%
BenchmarkCrossJoinFile1e3X1e4-4           47756376       45660908      -4.39%
BenchmarkInsertBoolFileNoX1e1-4           8217           8440          +2.71%
BenchmarkSelectBoolFileX1e1Perc50-4       5016           4891          -2.49%
BenchmarkSelectBoolFileX1e4Perc50-4       1990702        2011982       +1.07%
BenchmarkIssue99-4                        570902320      570826032     -0.01%
BenchmarkInsertBoolMemNoX1e2-4            47488          47489         +0.00%
BenchmarkCrossJoinMem1e2NoX1e3-4          1065159        1065149       -0.00%
BenchmarkCrossJoinMem1e3X1e2-4            117289         117288        -0.00%
BenchmarkCrossJoinMem1e4X1e3-4            12270956       12270888      -0.00%
BenchmarkSelectMem1kBx1e4-4               1440609        1440616       +0.00%
BenchmarkSelectOrderedMem1kBx1e3-4        418043         418041        -0.00%
BenchmarkInsertMem1kBn1e1t1e3-4           689628         689626        -0.00%
BenchmarkSelectBoolMemNoX1e4Perc5-4       1121213        1121210       -0.00%
BenchmarkSelectBoolMemNoX1e4Perc50-4      1121214        1121211       -0.00%
BenchmarkInsertBoolMemNoX1e4-4            8227667        8227645       -0.00%
BenchmarkCrossJoinMem1e3NoX1e4-4          118376672      118376936     +0.00%
BenchmarkCrossJoinMem1e3NoX1e2-4          1352956        1352959       +0.00%
BenchmarkInsertBoolMemX1e3-4              1058262        1058264       +0.00%
BenchmarkInsertMem1kBn1e2t1e3-4           559227         559228        +0.00%
BenchmarkInsertMem1kBn1e3t1e3-4           565132         565133        +0.00%
BenchmarkCrossJoinMem1e4NoX1e3-4          136813704      136813488     -0.00%
BenchmarkInsertBoolMemNoX1e3-4            745170         745169        -0.00%
BenchmarkCrossJoinMem1e3X1e4-4            10529962       10529955      -0.00%
BenchmarkInsertBoolMemX1e4-4              11241316       11241312      -0.00%
BenchmarkSelectBoolMemX1e5Perc50-4        4013378        4013377       -0.00%
BenchmarkSelectOrderedMem1kBx1e4-4        4091643        4091644       +0.00%
BenchmarkInsertMem1kBn1e3t1e5-4           57240349       57240338      -0.00%
BenchmarkInsertMem1kBn1e2t1e4-4           5597390        5597389       -0.00%
BenchmarkInsertMem1kBn1e3t1e4-4           5656423        5656424       +0.00%
BenchmarkSelectBoolMemNoX1e5Perc50-4      11201215       11201216      +0.00%
BenchmarkInsertBoolMemX1e5-4              112227484      112227475     -0.00%
BenchmarkSelectMem1kBx1e5-4               14400608       14400609      +0.00%
