$ benchcmp -mag -changed log-bench-2016-07-06-1155-2cbfdfc3 log-bench-2016-07-23-1640-77a0b885-lldb-2016-07-24-1458-74c3b196
benchmark                                 old ns/op       new ns/op       delta
BenchmarkCrossJoinMem1e2NoX1e3-4          12491518        12272454        -1.75%
BenchmarkCrossJoinFile1e2X1e1-4           79870           78507           -1.71%
BenchmarkSelectBoolMemNoX1e3Perc50-4      938891          922870          -1.71%
BenchmarkSelectFile1kBx1e5-4              1006470199      1023290280      +1.67%
BenchmarkInsertFile1kBn1e2t1e3-4          1453716728      1477240639      +1.62%
BenchmarkInsertFile1kBn1e0t1e2-4          13071377049     12883425029     -1.44%
BenchmarkSelectBoolMemNoX1e4Perc5-4       9510592         9387706         -1.29%
BenchmarkInsertBoolMemNoX1e4-4            34662101        35112239        +1.30%
BenchmarkSelectOrderedMem1kBx1e2-4        321644          317901          -1.16%
BenchmarkSelectBoolMemX1e5Perc50-4        35233624        34831123        -1.14%
BenchmarkInsertMem1kBn1e1t1e3-4           2110384         2086287         -1.14%
BenchmarkInsertMem1kBn1e2t1e3-4           1681637         1662552         -1.13%
BenchmarkSelectOrderedMem1kBx1e3-4        3793514         3836912         +1.14%
BenchmarkSelectMem1kBx1e3-4               728291          736033          +1.06%
BenchmarkInsertBoolFileX1e2-4             112636820       113660329       +0.91%
BenchmarkSelectMem1kBx1e4-4               7644570         7585344         -0.77%
BenchmarkInsertMem1kBn1e2t1e2-4           160902          162157          +0.78%
BenchmarkSelectMem1kBx1e2-4               71012           71505           +0.69%
BenchmarkInsertBoolMemX1e3-4              4112866         4130899         +0.44%
BenchmarkInsertMem1kBn1e0t1e2-4           532820          535043          +0.42%
BenchmarkSelectOrderedMem1kBx1e4-4        44429344        44278314        -0.34%
BenchmarkSelectBoolMemNoX1e5Perc5-4       106111212       105793743       -0.30%
BenchmarkInsertMem1kBn1e1t1e2-4           213345          212717          -0.29%
BenchmarkSelectBoolMemNoX1e2Perc5-4       96586           96858           +0.28%
BenchmarkCrossJoinMem1e3X1e2-4            774114          775058          +0.12%
BenchmarkSelectFile1kBx1e4-4              104159353       104275592       +0.11%
BenchmarkSelectBoolMemX1e3Perc5-4         25213           25221           +0.03%

benchmark                                 old MB/s       new MB/s       speedup
BenchmarkSelectOrderedFile1kBx1e4-4       2840.35        4858.87        1.71x
BenchmarkSelectOrderedFile1kBx1e3-4       3847.30        6549.55        1.70x
BenchmarkInsertFile1kBn1e1t1e3-4          45.53          70.16          1.54x
BenchmarkInsertBoolFileX1e1-4             90.77          61.13          0.67x
BenchmarkInsertBoolMemNoX1e5-4            257733.45      183359.15      0.71x
BenchmarkSelectBoolFileX1e3Perc5-4        215063.70      287066.49      1.33x
BenchmarkInsertFile1kBn1e3t1e3-4          3793.76        4529.42        1.19x
BenchmarkSelectBoolFileNoX1e2Perc50-4     285957.40      239788.10      0.84x
BenchmarkSelectOrderedFile1kBx1e2-4       8180.50        9696.67        1.19x
BenchmarkSelectBoolFileNoX1e2Perc5-4      18285.73       15646.73       0.86x
BenchmarkInsertFile1kBn1e3t1e5-4          4376.29        5105.89        1.17x
BenchmarkInsertFile1kBn1e3t1e4-4          4520.33        5222.93        1.16x
BenchmarkCrossJoinFile1e4X1e3-4           335530.19      291702.57      0.87x
BenchmarkSelectBoolFileNoX1e1Perc5-4      47926.39       41756.38       0.87x
BenchmarkCrossJoinFile1e2NoX1e1-4         18073.63       16152.07       0.89x
BenchmarkInsertBoolFileX1e3-4             4163.05        4629.82        1.11x
BenchmarkCrossJoinFile1e1NoX1e2-4         26011.93       23419.69       0.90x
BenchmarkSelectBoolFileNoX1e1Perc50-4     318183.33      286647.05      0.90x
BenchmarkInsertFile1kBn1e2t1e4-4          666.08         603.47         0.91x
BenchmarkSelectBoolFileNoX1e3Perc50-4     124711.45      113368.18      0.91x
BenchmarkSelectBoolFileNoX1e3Perc5-4      10520.56       9615.08        0.91x
BenchmarkSelectBoolMemX1e2Perc50-4        1641081.79     1792021.40     1.09x
BenchmarkInsertBoolMemX1e1-4              280615.30      306364.11      1.09x
BenchmarkCrossJoinMem1e4X1e3-4            1043470.96     1138563.08     1.09x
BenchmarkSelectBoolFileX1e2Perc50-4       436084.26      399896.55      0.92x
BenchmarkSelectBoolMemX1e4Perc50-4        1777468.75     1937842.76     1.09x
BenchmarkSelectBoolMemX1e1Perc50-4        810178.31      882694.72      1.09x
BenchmarkCrossJoinFile1e1X1e2-4           202440.41      220199.95      1.09x
BenchmarkInsertMem1kBn1e3t1e5-4           429666.98      465765.80      1.08x
BenchmarkSelectBoolFileX1e2Perc5-4        107273.94      115981.96      1.08x
BenchmarkInsertFile1kBn1e1t1e2-4          67.80          62.87          0.93x
BenchmarkSelectBoolFileX1e1Perc50-4       266662.67      247685.81      0.93x
BenchmarkInsertBoolFileNoX1e2-4           877.31         815.50         0.93x
BenchmarkSelectBoolFileX1e4Perc50-4       213098.60      198426.48      0.93x
BenchmarkCrossJoinFile1e3NoX1e2-4         27409.53       25538.07       0.93x
BenchmarkInsertBoolMemX1e2-4              326329.05      349720.30      1.07x
BenchmarkSelectBoolMemX1e1Perc5-4         173701.26      186150.24      1.07x
BenchmarkInsertMem1kBn1e3t1e4-4           495626.59      529859.39      1.07x
BenchmarkSelectBoolMemX1e5Perc5-4         1642136.21     1752784.90     1.07x
BenchmarkInsertMem1kBn1e3t1e3-4           505428.39      538565.84      1.07x
BenchmarkSelectBoolFileNoX1e4Perc5-4      12941.61       12148.66       0.94x
BenchmarkSelectBoolMemNoX1e4Perc50-4      490390.54      522337.00      1.07x
BenchmarkCrossJoinFile1e3NoX1e4-4         14238.71       13368.50       0.94x
BenchmarkSelectFile1kBx1e2-4              212406.85      199594.34      0.94x
BenchmarkInsertBoolMemNoX1e2-4            501219.21      532011.90      1.06x
BenchmarkSelectFile1kBx1e3-4              96807.52       91310.81       0.94x
BenchmarkInsertBoolFileNoX1e3-4           7826.78        8287.46        1.06x
BenchmarkCrossJoinFile1e2NoX1e3-4         13210.37       12496.61       0.95x
BenchmarkInsertBoolMemNoX1e3-4            434542.34      458931.18      1.06x
BenchmarkSelectBoolMemX1e2Perc5-4         462342.90      438124.55      0.95x
BenchmarkSelectBoolMemNoX1e2Perc50-4      482357.44      508931.63      1.06x
BenchmarkSelectBoolMemNoX1e5Perc50-4      438308.71      462063.51      1.05x
BenchmarkCrossJoinFile1e3X1e2-4           201850.65      212329.80      1.05x
BenchmarkCrossJoinFile1e4NoX1e3-4         14070.62       13405.19       0.95x
BenchmarkSelectBoolFileX1e1Perc5-4        69646.37       66437.25       0.95x
BenchmarkInsertBoolMemNoX1e1-4            438623.02      459601.70      1.05x
BenchmarkSelectBoolMemX1e3Perc50-4        2014278.38     2110390.58     1.05x
BenchmarkInsertFile1kBn1e2t1e2-4          687.81         720.24         1.05x
BenchmarkSelectBoolFileX1e3Perc50-4       204004.59      195601.37      0.96x
BenchmarkSelectBoolMemNoX1e1Perc5-4       69964.06       72901.56       1.04x
BenchmarkInsertMem1kBn1e2t1e4-4           481929.33      501622.68      1.04x
BenchmarkCrossJoinFile1e2X1e3-4           312147.39      300091.17      0.96x
BenchmarkInsertBoolMemX1e4-4              172156.67      178897.52      1.04x
BenchmarkInsertBoolFileNoX1e1-4           90.63          94.16          1.04x
BenchmarkIssue99-4                        2331.30        2244.34        0.96x
BenchmarkCrossJoinFile1e3X1e4-4           128688.04      123973.69      0.96x
BenchmarkSelectBoolFileX1e4Perc5-4        194996.77      187893.03      0.96x
BenchmarkSelectBoolMemNoX1e1Perc50-4      482364.00      500568.68      1.04x
BenchmarkCrossJoinMem1e3X1e4-4            1088983.31     1129455.54     1.04x
BenchmarkSelectBoolFileNoX1e4Perc50-4     117849.24      113829.45      0.97x
BenchmarkSelectBoolMemX1e4Perc5-4         1841367.31     1904738.62     1.03x
BenchmarkCrossJoinMem1e1X1e2-4            901214.32      931646.04      1.03x
BenchmarkCrossJoinMem1e3NoX1e2-4          51767.58       53512.00       1.03x
BenchmarkInsertBoolMemX1e5-4              150748.54      155487.47      1.03x
BenchmarkCrossJoinMem1e4NoX1e3-4          64895.47       63081.66       0.97x
BenchmarkCrossJoinMem1e2X1e3-4            1201176.81     1233430.94     1.03x
BenchmarkSelectMem1kBx1e5-4               1061086.72     1038974.39     0.98x
BenchmarkCrossJoinMem1e2NoX1e1-4          28240.66       28796.09       1.02x
BenchmarkCrossJoinMem1e2X1e1-4            463331.85      472314.20      1.02x
BenchmarkCrossJoinMem1e3NoX1e4-4          63923.88       65111.56       1.02x
BenchmarkSelectBoolMemNoX1e3Perc5-4       47697.42       46837.29       0.98x
BenchmarkCrossJoinMem1e1NoX1e2-4          43564.34       44357.13       1.02x
BenchmarkCrossJoinMem1e2NoX1e3-4          58279.54       59319.84       1.02x
BenchmarkCrossJoinFile1e2X1e1-4           100162.46      101901.59      1.02x
BenchmarkSelectBoolMemNoX1e3Perc50-4      546389.24      555874.52      1.02x
BenchmarkSelectFile1kBx1e5-4              99357.14       97723.98       0.98x
BenchmarkInsertFile1kBn1e2t1e3-4          687.89         676.94         0.98x
BenchmarkInsertFile1kBn1e0t1e2-4          7.65           7.76           1.01x
BenchmarkSelectBoolMemNoX1e4Perc5-4       56253.07       56989.42       1.01x
BenchmarkInsertBoolMemNoX1e4-4            288499.53      284800.97      0.99x
BenchmarkSelectOrderedMem1kBx1e2-4        310902.52      314563.15      1.01x
BenchmarkSelectBoolMemX1e5Perc50-4        1423469.79     1439919.10     1.01x
BenchmarkInsertMem1kBn1e1t1e3-4           473847.35      479320.24      1.01x
BenchmarkInsertMem1kBn1e2t1e3-4           594658.53      601484.84      1.01x
BenchmarkSelectOrderedMem1kBx1e3-4        263607.78      260626.24      0.99x
BenchmarkSelectMem1kBx1e3-4               1373077.11     1358634.52     0.99x
BenchmarkInsertBoolFileX1e2-4             887.81         879.81         0.99x
BenchmarkSelectMem1kBx1e4-4               1308117.99     1318331.66     1.01x
BenchmarkInsertMem1kBn1e2t1e2-4           621493.58      616683.71      0.99x
BenchmarkSelectMem1kBx1e2-4               1408206.83     1398487.65     0.99x
BenchmarkInsertBoolMemX1e3-4              243139.41      242078.05      1.00x
BenchmarkInsertMem1kBn1e0t1e2-4           187680.58      186900.68      1.00x
BenchmarkSelectOrderedMem1kBx1e4-4        225076.47      225844.19      1.00x
BenchmarkSelectBoolMemNoX1e5Perc5-4       47930.84       48074.68       1.00x
BenchmarkInsertMem1kBn1e1t1e2-4           468723.00      470106.14      1.00x
BenchmarkSelectBoolMemNoX1e2Perc5-4       31060.26       30973.04       1.00x
BenchmarkCrossJoinMem1e3X1e2-4            1046357.43     1045082.13     1.00x
BenchmarkSelectFile1kBx1e4-4              96006.74       95899.72       1.00x
BenchmarkSelectBoolMemX1e3Perc5-4         1665782.24     1665233.55     1.00x

benchmark                                 old allocs     new allocs     delta
BenchmarkInsertFile1kBn1e2t1e3-4          35020          18969          -45.83%
BenchmarkInsertFile1kBn1e2t1e2-4          3513           1909           -45.66%
BenchmarkInsertFile1kBn1e3t1e3-4          34587          18962          -45.18%
BenchmarkInsertFile1kBn1e3t1e5-4          3555033        1955516        -44.99%
BenchmarkInsertFile1kBn1e2t1e4-4          358869         198277         -44.75%
BenchmarkInsertFile1kBn1e3t1e4-4          353621         195421         -44.74%
BenchmarkInsertFile1kBn1e1t1e3-4          39927          23556          -41.00%
BenchmarkInsertFile1kBn1e1t1e2-4          4009           2393           -40.31%
BenchmarkInsertFile1kBn1e0t1e2-4          8819           7039           -20.18%
BenchmarkInsertBoolFileX1e1-4             556            488            -12.23%
BenchmarkSelectBoolFileNoX1e4Perc5-4      110062         120069         +9.09%
BenchmarkSelectBoolFileNoX1e4Perc50-4     110062         120069         +9.09%
BenchmarkSelectBoolFileNoX1e3Perc5-4      11026          12027          +9.08%
BenchmarkSelectBoolFileNoX1e3Perc50-4     11026          12027          +9.08%
BenchmarkSelectBoolFileNoX1e2Perc5-4      1123           1223           +8.90%
BenchmarkSelectBoolFileNoX1e2Perc50-4     1123           1223           +8.90%
BenchmarkSelectBoolFileNoX1e1Perc5-4      132            143            +8.33%
BenchmarkCrossJoinFile1e3NoX1e4-4         11811374       12710284       +7.61%
BenchmarkCrossJoinFile1e4NoX1e3-4         13611374       14646247       +7.60%
BenchmarkCrossJoinFile1e1NoX1e2-4         2765           2975           +7.59%
BenchmarkCrossJoinFile1e2NoX1e3-4         106183         114241         +7.59%
BenchmarkCrossJoinFile1e3NoX1e2-4         131366         141299         +7.56%
BenchmarkSelectBoolFileNoX1e1Perc50-4     133            143            +7.52%
BenchmarkCrossJoinFile1e2NoX1e1-4         2399           2579           +7.50%
BenchmarkSelectFile1kBx1e3-4              15031          16037          +6.69%
BenchmarkSelectFile1kBx1e4-4              150144         160161         +6.67%
BenchmarkSelectFile1kBx1e5-4              1501288        1600657        +6.62%
BenchmarkSelectFile1kBx1e2-4              1516           1616           +6.60%
BenchmarkSelectBoolFileX1e4Perc50-4       86286          91359          +5.88%
BenchmarkSelectBoolFileX1e3Perc50-4       8868           9380           +5.77%
BenchmarkSelectBoolFileX1e4Perc5-4        9284           9820           +5.77%
BenchmarkCrossJoinFile1e2X1e3-4           13411          14164          +5.61%
BenchmarkCrossJoinFile1e4X1e3-4           1961482        2070806        +5.57%
BenchmarkCrossJoinFile1e3X1e4-4           1692648        1786396        +5.54%
BenchmarkSelectBoolFileX1e2Perc50-4       923            972            +5.31%
BenchmarkSelectBoolFileX1e3Perc5-4        854            899            +5.27%
BenchmarkCrossJoinFile1e3X1e2-4           17807          18662          +4.80%
BenchmarkCrossJoinFile1e1X1e2-4           346            362            +4.62%
BenchmarkSelectBoolFileX1e1Perc50-4       193            201            +4.15%
BenchmarkSelectOrderedFile1kBx1e4-4       2881698        2990004        +3.76%
BenchmarkCrossJoinFile1e2X1e1-4           448            464            +3.57%
BenchmarkInsertBoolFileX1e3-4             122807         118809         -3.26%
BenchmarkSelectOrderedFile1kBx1e2-4       16438          16959          +3.17%
BenchmarkSelectOrderedFile1kBx1e3-4       225474         232216         +2.99%
BenchmarkSelectBoolFileX1e2Perc5-4        158            162            +2.53%
BenchmarkInsertBoolFileX1e2-4             8396           8212           -2.19%
BenchmarkSelectBoolFileX1e1Perc5-4        91             93             +2.20%
BenchmarkInsertBoolFileNoX1e2-4           1764           1734           -1.70%
BenchmarkInsertBoolFileNoX1e3-4           17436          17179          -1.47%
BenchmarkInsertBoolFileNoX1e1-4           196            194            -1.02%
BenchmarkInsertBoolMemNoX1e4-4            170006         170005         -0.00%
BenchmarkIssue99-4                        12201204       12201225       +0.00%
BenchmarkCrossJoinMem1e3NoX1e4-4          8203257        8203268        +0.00%
BenchmarkCrossJoinMem1e4NoX1e3-4          9454076        9454087        +0.00%
BenchmarkInsertBoolMemX1e5-4              2000818        2000819        +0.00%

benchmark                                 old bytes      new bytes     delta
BenchmarkSelectOrderedFile1kBx1e4-4       2098359072     170020376     -91.90%
BenchmarkSelectOrderedFile1kBx1e3-4       157033334      16555674      -89.46%
BenchmarkSelectBoolFileX1e3Perc5-4        155837         53704         -65.54%
BenchmarkInsertBoolFileX1e1-4             160201         57115         -64.35%
BenchmarkSelectOrderedFile1kBx1e2-4       2802383        1479303       -47.21%
BenchmarkInsertBoolFileX1e3-4             4812963        2738292       -43.11%
BenchmarkInsertBoolFileX1e2-4             356225         216947        -39.10%
BenchmarkSelectBoolFileX1e2Perc5-4        11631          7669          -34.06%
BenchmarkCrossJoinFile1e1X1e2-4           25295          17063         -32.54%
BenchmarkSelectBoolFileX1e3Perc50-4       386609         261623        -32.33%
BenchmarkCrossJoinFile1e3X1e2-4           1181286        814833        -31.02%
BenchmarkSelectBoolFileX1e4Perc5-4        359809         249670        -30.61%
BenchmarkInsertFile1kBn1e2t1e4-4          53702480       38890320      -27.58%
BenchmarkInsertFile1kBn1e2t1e3-4          5395152        3936224       -27.04%
BenchmarkCrossJoinFile1e2X1e1-4           25920          19242         -25.76%
BenchmarkInsertFile1kBn1e3t1e5-4          538109952      405233168     -24.69%
BenchmarkInsertFile1kBn1e2t1e2-4          555371         421891        -24.03%
BenchmarkInsertFile1kBn1e3t1e4-4          53883488       42164272      -21.75%
BenchmarkInsertFile1kBn1e1t1e3-4          6044112        4842048       -19.89%
BenchmarkInsertFile1kBn1e1t1e2-4          627344         521496        -16.87%
BenchmarkInsertFile1kBn1e0t1e2-4          1290992        1522952       +17.97%
BenchmarkInsertFile1kBn1e3t1e3-4          5516592        4784150       -13.28%
BenchmarkSelectBoolFileNoX1e4Perc50-4     2324515        2646403       +13.85%
BenchmarkSelectBoolFileNoX1e4Perc5-4      2324499        2646353       +13.85%
BenchmarkSelectBoolFileNoX1e3Perc50-4     233498         265689        +13.79%
BenchmarkSelectBoolFileNoX1e3Perc5-4      233495         265682        +13.78%
BenchmarkSelectBoolFileNoX1e2Perc50-4     24409          27616         +13.14%
BenchmarkSelectBoolFileNoX1e2Perc5-4      24409          27615         +13.13%
BenchmarkSelectBoolFileX1e1Perc5-4        3096           2777          -10.30%
BenchmarkSelectBoolFileX1e2Perc50-4       26035          23527         -9.63%
BenchmarkCrossJoinFile1e2X1e3-4           628890         574215        -8.69%
BenchmarkInsertBoolFileNoX1e2-4           42523          38880         -8.57%
BenchmarkSelectBoolFileNoX1e1Perc5-4      3528           3848          +9.07%
BenchmarkSelectBoolFileNoX1e1Perc50-4     3528           3848          +9.07%
BenchmarkCrossJoinFile1e4X1e3-4           85087787       78580269      -7.65%
BenchmarkInsertBoolFileNoX1e3-4           386161         358357        -7.20%
BenchmarkSelectFile1kBx1e5-4              374814328      351822308     -6.13%
BenchmarkSelectFile1kBx1e4-4              37482760       35249576      -5.96%
BenchmarkSelectFile1kBx1e2-4              374281         352007        -5.95%
BenchmarkSelectFile1kBx1e3-4              3749068        3527399       -5.91%
BenchmarkCrossJoinFile1e3NoX1e4-4         248254392      262787608     +5.85%
BenchmarkCrossJoinFile1e4NoX1e3-4         286420536      303158616     +5.84%
BenchmarkCrossJoinFile1e2NoX1e3-4         2236780        2367123       +5.83%
BenchmarkCrossJoinFile1e3NoX1e2-4         2795544        2956260       +5.75%
BenchmarkCrossJoinFile1e1NoX1e2-4         59550          62929         +5.67%
BenchmarkCrossJoinFile1e2NoX1e1-4         54271          57162         +5.33%
BenchmarkCrossJoinFile1e3X1e4-4           49133688       47136196      -4.07%
BenchmarkInsertBoolFileNoX1e1-4           8273           8566          +3.54%
BenchmarkSelectBoolFileX1e1Perc50-4       5016           4891          -2.49%
BenchmarkSelectBoolFileX1e4Perc50-4       2061396        2095839       +1.67%
BenchmarkInsertMem1kBn1e2t1e4-4           5613490        5602755       -0.19%
BenchmarkInsertBoolMemX1e4-4              11258209       11279460      +0.19%
BenchmarkInsertBoolMemX1e3-4              1057886        1058167       +0.03%
BenchmarkCrossJoinMem1e1NoX1e2-4          29305          29304         -0.00%
BenchmarkCrossJoinMem1e4NoX1e3-4          136813896      136818360     +0.00%
BenchmarkInsertBoolMemNoX1e2-4            47490          47489         -0.00%
BenchmarkSelectBoolMemNoX1e4Perc50-4      1121214        1121233       +0.00%
BenchmarkSelectBoolMemX1e4Perc50-4        406097         406101        +0.00%
BenchmarkSelectOrderedMem1kBx1e3-4        418045         418041        -0.00%
BenchmarkSelectBoolMemNoX1e3Perc50-4      113208         113209        +0.00%
BenchmarkCrossJoinMem1e4X1e3-4            12270992       12270887      -0.00%
BenchmarkInsertBoolMemNoX1e5-4            83608517       83609130      +0.00%
BenchmarkInsertMem1kBn1e0t1e2-4           161604         161603        -0.00%
BenchmarkCrossJoinMem1e3NoX1e4-4          118381144      118381832     +0.00%
BenchmarkInsertMem1kBn1e2t1e3-4           559254         559252        -0.00%
BenchmarkInsertMem1kBn1e3t1e3-4           565159         565157        -0.00%
BenchmarkInsertBoolMemNoX1e4-4            8233024        8233052       +0.00%
BenchmarkInsertMem1kBn1e3t1e4-4           5661809        5661792       -0.00%
BenchmarkInsertMem1kBn1e1t1e3-4           689651         689653        +0.00%
BenchmarkSelectBoolMemNoX1e4Perc5-4       1121213        1121211       -0.00%
BenchmarkCrossJoinMem1e2NoX1e3-4          1065172        1065173       +0.00%
BenchmarkCrossJoinMem1e3NoX1e2-4          1353003        1353004       +0.00%
BenchmarkSelectOrderedMem1kBx1e4-4        4091642        4091644       +0.00%
BenchmarkInsertBoolMemX1e5-4              118007328      118007384     +0.00%
BenchmarkSelectBoolMemNoX1e5Perc5-4       11201217       11201214      -0.00%
BenchmarkSelectBoolMemX1e5Perc50-4        4013378        4013377       -0.00%
BenchmarkIssue99-4                        570866096      570865992     -0.00%
BenchmarkInsertMem1kBn1e3t1e5-4           59430048       59430054      +0.00%
